metro,pagerank
0,0.11418103687108891
14460,0.022063963578047397
35620,0.020981231674461927
19100,0.018761148274260415
31080,0.0175919348132331
38060,0.01614585605351962
16980,0.015765216512094282
47900,0.015736670021795657
19740,0.015374283150109878
26420,0.015189296658773688
12060,0.014782799131644039
42660,0.013121982166350542
37980,0.011818276540901871
16740,0.011809086103188543
45300,0.011261670386719264
12420,0.010559223692964937
41860,0.010519461160823765
33100,0.010067245012318699
38900,0.008527845544206176
34980,0.008482146565798232
41740,0.008451721642687851
36740,0.008394408169284195
33460,0.007898832131839376
28140,0.007580207067143237
41700,0.007465541073915642
19820,0.006918757010394098
40900,0.006917617535235822
29820,0.006858854111788968
40140,0.006341501995695343
39300,0.00624542916002794
39580,0.006219013177485132
41180,0.006147300099088856
18140,0.006131203237119936
12580,0.006091094575174689
27260,0.005876156213891895
24860,0.005827268778837832
26900,0.00575144450171434
47260,0.0057097901687920205
46060,0.005678863132624425
17140,0.005665939767898545
41940,0.005295961647743378
38300,0.005200105915772693
17460,0.005058532064554592
36420,0.004835399888155629
13820,0.00475408781673455
49340,0.004693044471046079
35840,0.004639222499386894
41620,0.004621235276621157
40060,0.004492545115279791
33340,0.004453420568548729
17900,0.004317754630335851
16700,0.0042862046784193225
25540,0.004271917768774396
17820,0.004048773280857199
19380,0.0037947284642466774
39340,0.003785180256988184
24340,0.0036721066476310456
28940,0.0036172833730389333
14260,0.003602607768252559
35380,0.0035702900667862777
36540,0.0035156564949891554
24660,0.0034840475590939787
38860,0.003448183585503121
31140,0.003436296172973177
15980,0.0034313901859895834
10740,0.003430479627428951
32820,0.003418420383960627
40380,0.0033957146606492902
45780,0.00335549659828802
16860,0.0033346554178975804
35300,0.0033266169474761623
23420,0.003323426121675986
46520,0.003063445062816823
22660,0.003021112400326407
29460,0.0029997155483554947
10580,0.0029609001590378786
44060,0.0029240513136204876
29620,0.0029074353723013368
19660,0.002871812611928403
11700,0.0028255428697204427
10420,0.00280230604195802
37340,0.0027993518357236767
48620,0.002766469608021155
34820,0.0027576514567720623
19780,0.002753123109374803
25420,0.0027419534056421844
37860,0.002740048970395277
15380,0.0026909140264590793
22220,0.00267848938203264
42200,0.0026649040721193193
12940,0.0026615257611959696
44180,0.002658138089780287
11460,0.002652547233264271
23540,0.0025806304831819268
14860,0.0025772203985128983
21660,0.0025121355631203806
21340,0.0024844315811592996
17780,0.002445394467377811
31180,0.002408264770840741
29540,0.0023936215264953146
39900,0.0023935450100297387
30780,0.0023830674512993065
48900,0.0023826357680829563
41540,0.0023765642426638355
27140,0.0023423508395093062
13380,0.002327796679000868
33860,0.0023054570859533698
10900,0.002292922620869224
28020,0.0022849115680802145
34940,0.0022673548588716453
42020,0.002265926041506601
43900,0.00226355736779685
36260,0.0022413420447987614
30700,0.002230037332475442
23060,0.002198861508801323
12260,0.002185648360294868
33660,0.0021739717805074406
12540,0.002160749368172725
46140,0.00214658278581473
36500,0.0021065287141939937
42220,0.0020824616391430734
25060,0.0020820932562829594
17300,0.002070174253127217
18580,0.002059918695869545
