district_id,eigen,rank
466,0.00356979987215189,109
469,0.01034768637841169,26
472,0.00348841093288654,111
475,0.00785303710404972,69
479,0.0130312905090956,11
484,0.00518121895275276,96
485,0.01000768062114983,34
486,0.00933597656299604,48
487,0.00766324822218098,72
488,0.00550273327058306,94
489,0.00938525939732888,45
494,0.00496738738130682,97
518,0.00879382388089413,58
521,0.00427742731209203,102
525,0.01250696265912267,13
545,0.00278350067687967,114
550,0.00371247150835944,107
554,0.0022128950432773,116
571,0.00819532545946153,63
575,0.00796780409643811,68
577,0.00812709011038648,66
