metro,pagerank
0,0.1686585825232372
14460,0.020345829508479272
35620,0.01667494046507754
38060,0.015654947086021408
31080,0.012790949695768626
19100,0.011963790270503358
26420,0.011628823668235647
16980,0.010909337051358717
45300,0.010639350829654733
33100,0.010153086927476134
37980,0.009811738383876452
12060,0.009737813393971234
40140,0.008853607467852995
16740,0.008676853811303823
47900,0.008374867555588538
19740,0.008269309477718196
36740,0.00784582879084036
42660,0.007650887079558478
46060,0.0075502927968917185
29820,0.006974465506338675
19820,0.006839800990808124
49340,0.006744475602001662
41860,0.006724880801959154
39300,0.0067183132180227475
41700,0.006372304623976708
12420,0.006150843503206595
40900,0.006125554923864635
38900,0.006081820659265849
34980,0.005896258895356936
41740,0.005826897680124497
13820,0.005773121994069828
24860,0.005569684397543421
41180,0.0055554899679620354
28140,0.005508663489942336
35840,0.005439992944508189
27260,0.005249469819865342
33460,0.005121564747929903
25540,0.005117662637300173
17140,0.005073627847574541
18140,0.004984906864333436
26900,0.004903809763497641
12580,0.004792455763123082
19660,0.004763423313064866
36420,0.004731527227493652
17460,0.004676993337907709
39580,0.004637736855554643
47260,0.0045223026351358
15980,0.0044870384564558675
24660,0.004475429058505662
33340,0.004281631209540904
38300,0.004227553197124393
29460,0.0041458923117506956
35300,0.004110513114361608
40060,0.004003196535529441
17900,0.003798502767527108
28940,0.003766761580610813
16700,0.003649487933341637
14260,0.003601993578245671
24780,0.0035688892197302266
41620,0.0034388952880698826
31140,0.0034058310283866856
12940,0.00336111381114676
31180,0.0033353791871301576
40380,0.003325393600011516
32820,0.0033173531498519276
11700,0.0032799687291265324
41940,0.00325755591601743
23420,0.0032148993162241114
24340,0.0032043604409480605
45780,0.0031633417911653074
35380,0.0031591372713478663
10740,0.0031574652523993006
37340,0.003132403498515437
27140,0.003130679800180035
19380,0.0030634034662540993
48620,0.00303049398533574
36100,0.0030029497030507773
18580,0.0029961799746524684
44140,0.002991258183351569
34940,0.0029583489215644666
36540,0.002957933485298662
17780,0.0028988850613941414
21340,0.00285927829353334
12260,0.0028429798262558452
16860,0.0028412740958258676
38940,0.0028311179482254957
44180,0.002827400217495619
22220,0.002820238987936605
46520,0.0027851445505342174
46220,0.002770287715620281
30780,0.0027408869213891365
13980,0.00272951576704145
15380,0.0027125053377139124
32580,0.0027085030650669173
33660,0.002705968677951418
