metro,pagerank
0,0.10468505337465911
19100,0.02318680207135958
12060,0.016744139780047254
16740,0.01551694624275599
38060,0.014733366276775855
42660,0.014395153792222658
26420,0.013070933748851533
35620,0.012751782143639744
18140,0.01156960517493034
19740,0.011390245781395249
16980,0.011105041653297136
34980,0.010863544052825939
31080,0.01076735367929309
29820,0.00992656991780439
17140,0.009883901569465335
14460,0.00981373800342508
32820,0.009623759631319439
40140,0.009593548028175011
37980,0.009016748065625562
24660,0.00883495482181768
33460,0.008270305823825203
11700,0.008222522875032053
27260,0.007968073265707726
39300,0.007629908938517311
26900,0.007511403198201438
33260,0.0073036634307994865
38900,0.007191685111272673
28140,0.006994874270519916
47900,0.006930592018985544
19820,0.006890697030243586
41700,0.006839674189315912
41180,0.006837719567786714
36740,0.006771889885588161
45300,0.006709926715314873
12420,0.006500638891679259
10900,0.006005965047821846
46060,0.0059276034846038805
31140,0.005828021327891404
41620,0.005312010730376
40900,0.005291603294079448
35660,0.005222326326505206
13820,0.005127546648860781
25540,0.005124394801036407
19380,0.005037789203387564
45780,0.005001133102248551
41740,0.004920395880880304
30340,0.004893897340709452
17820,0.004857745928030618
41860,0.004747672454876661
42200,0.0047108026047081265
12580,0.0046899006514287715
10740,0.004623309968432883
47260,0.004612847373137527
49620,0.004514836439160858
17460,0.004513459087020696
16940,0.0044627287607035
47580,0.004394984590667346
39580,0.004391484663083183
49340,0.004390351496285276
38940,0.004366075297280378
17900,0.004206557539612025
33100,0.0042006027505204786
33340,0.003950949210705263
39740,0.003925247944033373
40060,0.003907260454745105
44940,0.0039022804126684755
28940,0.003890263724576652
25420,0.003829468073740538
14260,0.0038111340588211076
30780,0.003797300671363635
39900,0.003712728861652756
38300,0.0037046281310803364
24860,0.0036632024397078348
14020,0.003602431804561341
36540,0.00352924822034921
27740,0.003480788670137074
23420,0.0034651573230879418
24340,0.00343881542757245
17860,0.003403459638051615
29460,0.0034009403675055215
33660,0.0033991131313291134
49420,0.0033468744532525454
21340,0.003335341974764174
35380,0.003320828374406655
48900,0.0033029883465440775
12260,0.0032896968406991587
11260,0.0032576855367013845
15980,0.0032226904265769893
36420,0.0031315478185968974
22660,0.0031083960706255816
48620,0.003084679735200631
44180,0.0030808794209055486
35840,0.0030670017784745363
20940,0.0030611078856671546
29620,0.0030352303424550234
19660,0.0030293870481603964
44060,0.0029937858056186973
36100,0.0029901414427649406
37100,0.002938397045974077
10580,0.0029245024352443924
39340,0.0028919659368275698
18880,0.0028900683752402924
16860,0.0028764465925119388
40220,0.0028624277556353155
33700,0.0028332184813578544
23060,0.0028272454881009355
44700,0.0027230806941721574
40420,0.002692137867081612
46140,0.0026844373462162627
42680,0.0026405524233031642
29740,0.0026384110561851436
30140,0.002633888114610716
25860,0.002596851899438154
43900,0.0025921161449461655
34820,0.0025900790686610056
16700,0.0025885422895773613
30620,0.002573250185027118
46700,0.0025187402520344114
24780,0.0024977908448195157
15940,0.002486745003843859
15380,0.002468959540907549
27780,0.002462920981916006
19780,0.0024486078061604667
36260,0.002430119098375568
39460,0.0024273352804442434
27900,0.0023640780552466037
21660,0.0023480383063045757
37860,0.0023196616836523905
42100,0.002311197774748044
29940,0.0022945758488772307
15180,0.0022916992424174575
12540,0.0022768218563473234
17300,0.0022750442274049043
32780,0.0022628750442050516
36500,0.002259550730479277
42540,0.0022440585687673346
15540,0.002234176247292105
33860,0.00223169425102647
36780,0.002220247739276378
29200,0.0022190679226659553
20100,0.002173946618848104
28100,0.002172094409025811
12940,0.0021536280493624515
29540,0.0021388559225526357
41140,0.0021336232272416472
32580,0.002114971754809582
10420,0.002113065088553292
41940,0.002078508025013191
44140,0.0020553989612852723
31900,0.0020455868289121224
37620,0.0020348340862890685
27140,0.002034634055327453
26380,0.0020229781887075907
16580,0.002017937918374081
22500,0.0019740451152972906
35300,0.0019662647945050743
14860,0.0019554113276229476
17020,0.0019242560651646225
31180,0.0019218968686724423
44220,0.001908204396949843
29180,0.0019037433109114904
37340,0.0018917163527127777
25500,0.001887521030806201
35980,0.0018835407765282414
34060,0.0018473547507889
47380,0.0018383767035575955
47300,0.001818468743366007
