district_id,eigen,rank
788,0.00536834000114956,71
790,0.00370904798006912,119
795,0.00475297596856137,96
798,0.00270514717530685,148
802,0.00856555071187956,21
805,0.00156652401039428,185
807,0.00526345759056999,72
809,0.00165156654100932,182
810,0.00175166900422136,178
811,0.01161624517039692,10
812,0.00347230035144675,129
813,0.00188354491160121,175
814,7.8953587162382e-4,194
815,0.00764652439611359,30
816,0.00526345759056999,72
818,0.00363095442276365,122
819,0.00526345759056999,72
820,9.0396790897716e-4,192
821,0.00823366609696319,23
822,0.00199228723088553,170
823,0.00526345759056999,72
824,NA,NA
825,0.00209350810283606,166
826,0.00901241452134779,17
827,0.0010417480064694,190
829,0.0026785861292799,149
830,0.00202152765248418,169
831,0.01345026528890039,5
832,0.0017747886804842,177
833,0.00526345759056999,72
834,0.00526345759056999,72
835,0.00526345759056998,85
836,0.0064050672198497,50
837,0.00526345759056999,72
839,8.0899761338195e-4,193
840,0.00526345759056999,72
841,NA,NA
842,0.0055967490925987,65
843,0.00971791756775803,15
844,NA,NA
845,0.00526345759056999,72
846,NA,NA
847,0.00251047676517686,155
848,0.00668682060448891,43
850,0.0033853015439929,132
851,0.00788987576180416,26
852,0.00526345759056999,72
853,0.00749063867428132,32
854,0.00417733962817245,108
855,0.00593727173420167,61
856,0.00576010205940577,63
857,0.00352282627460931,126
858,0.00569903410360826,64
859,0.00251814776309324,154
861,0.00379491427595452,117
862,0.00274902831462285,147
863,0.0039612840523845,112
864,0.00754199731475323,31
865,0.0044568628221131,105
866,0.00541317023778724,70
867,0.00203752382199939,168
868,0.00702491200493803,36
869,0.0032512257007468,134
870,0.00775291539883302,28
872,0.00375224218217714,118
873,0.00887883522388545,18
875,0.01117200990727799,11
876,0.00317890211952915,136
877,0.00117377936677063,189
878,0.00136667222878745,187
879,0.00453833195601715,100
880,0.00195668272561931,171
881,0.0019529907035211,172
882,0.00808938033887918,24
884,0.00650482405418621,46
885,0.00459951912328534,99
886,0.00234305639672091,159
887,0.00611419644629851,55
888,0.00417171364491871,109
889,0.0029556976625692,141
890,0.00687763271301623,38
891,0.00526345759056999,72
892,0.00644195550781556,48
893,0.00191202569860029,174
896,0.00660424781374589,44
897,0.00807344626392769,25
898,0.00130413550680765,188
899,NA,NA
901,0.00452544949915153,101
904,0.00365357496378064,121
915,0.00519596694125656,89
924,0.00265121385066047,151
933,0.00828196058430815,22
940,0.00995540175534085,14
947,0.00314572247109899,138
953,0.00593782726503686,60
960,0.00217995162133085,162
966,0.00359509793045608,124
972,0.00402005276549855,110
977,0.01337961977313139,6
